,order_number,tree_adress,Latitude,Longitude,tree_characteristics,number,finished,branch_left,was_cut,tree_adress_shorten,date_UTF
0,№ 311/03-01-06 від 14.02.18,"Кропивницький, вул. Олексія Єгорова, 32",48.5127751,32.2752405,тополя пухова,1,false,1,false,"вул. Олексія Єгорова, 32",NotYet
1,№ 590-П від 15.02.18,"Кропивницький, вул. Київська, 85",48.50793300000446,32.26231699999913,клен,2,false,2,false,"вул. Київська, 85",NotYet
2,№ 665-М від 16.02.18,"Кропивницький, вул. Велика Пермська, 82",48.507933000007256,32.26231699999939,акація,1,false,1,false,"вул. Велика Пермська, 82",NotYet
3,№ 416/03-01-06 від 27.02.18,"Кропивницький, просп. Промисловий, 25",48.5188745,32.196735600000004,горіх,3,false,3,false,"просп. Промисловий, 25",NotYet
4,№ 673/03-01-06 від 05.03.18,"Кропивницький, вул. Андріївська, 12",48.51115120000822,32.2504592,шовковиця,1,false,1,false,"вул. Андріївська, 12",NotYet
5,№ 44-вих від 07.03.18,"Кропивницький, вул. Юрія Коваленка, 7",48.50072279999999,32.212545500000004,горіх,12,true,0,true,"вул. Юрія Коваленка, 7",07.03.18
6,№ 44-вих від 07.03.18,"Кропивницький, вул. Юрія Коваленка, 7",48.50071079999999,32.2125483,липа,5,true,0,true,"вул. Юрія Коваленка, 7",07.03.18
7,№ 44-вих від 07.03.18,"Кропивницький, вул. Юрія Коваленка, 7",48.5007701,32.2125467,каштан,5,true,0,true,"вул. Юрія Коваленка, 7",07.03.18
8,№ 44-вих від 07.03.18,"Кропивницький, вул. Юрія Коваленка, 7",48.5007787,32.212598699999994,береза,1,true,0,true,"вул. Юрія Коваленка, 7",07.03.18
9,№ 35-вих від 26.02.18,"Кропивницький, вул. Ігіта Гаспаряна, 92/24",48.525886299999996,32.26608719999917,акація,1,false,1,false,"вул. Ігіта Гаспаряна, 92/24",NotYet
10,№ 762/03-01-06 від 20.03.18,"Кропивницький, вул. Володі Дубініна, 9",48.473335799999994,32.3024463,акація,1,false,1,false,"вул. Володі Дубініна, 9",NotYet
11,№ 768/03-01-06 від 20.03.18,"Кропивницький, вул. Генерала Жадова, 28, корп. 2",48.4905702999994,32.201321899999996,акація,1,true,0,true,"вул. Генерала Жадова, 28, корп. 2",20.03.18
12,№ 1178-В від 27.03.18,"Кропивницький, перехрестя вулиць Ростислава Черноморченка та Глинки",48.507933000001536,32.262316999999825,акація,4,true,0,true,перехрестя вулиць Ростислава Черноморченка та Глинки,27.03.18
13,№ 1178-В від 27.03.18,"Кропивницький, перехрестя вулиць Ростислава Черноморченка та Глинки",48.50793300000572,32.26231699999937,клен,1,true,0,true,перехрестя вулиць Ростислава Черноморченка та Глинки,27.03.18
14,№ 1178-В від 27.03.18,"Кропивницький, на розі вулиць Куропятникова-Яновського",48.4922037999973,32.257975699999996,каштан,6,true,0,true,на розі вулиць Куропятникова-Яновського,27.03.18
15,№ 1178-В від 27.03.18,"Кропивницький, на розі вулиць Куропятникова-Яновського",48.492203799991074,32.257994599999996,тополя,1,true,0,true,на розі вулиць Куропятникова-Яновського,27.03.18
16,№ 1178-В від 27.03.18,"Кропивницький, на розі вулиць Куропятникова-Яновського",48.49220379999419,32.257974,горіх,1,true,0,true,на розі вулиць Куропятникова-Яновського,27.03.18
17,№ 1178-В від 27.03.18,"Кропивницький, уздовж вул. Арсенія Тарковського",48.509308000000004,32.27213300000014,Дерева,267,true,0,true,уздовж вул. Арсенія Тарковського,27.03.18
18,№ 1178-В від 27.03.18,"Кропивницький, уздовж вул. Пашутинської",48.5087445,32.268517200000005,Дерева,81,true,0,true,уздовж вул. Пашутинської,27.03.18
19,№ 71-вих від 13.04.18,"Кропивницький, вул. Тульська, 1",48.4954565,32.29179439999107,акація,12,true,0,true,"вул. Тульська, 1",13.04.18
20,№ 71-вих від 13.04.18,"Кропивницький, вул. Тульська, 1",48.4954513,32.291794399993854,тополя,1,true,0,true,"вул. Тульська, 1",13.04.18
21,№ 71-вих від 13.04.18,"Кропивницький, вул. Тульська, 1",48.4954343,32.29179439999167,абрикос,1,true,0,true,"вул. Тульська, 1",13.04.18
22,№ 71-вих від 13.04.18,"Кропивницький, вул. Тульська, 1",48.495468,32.29179439999685,шовковиця,1,true,0,true,"вул. Тульська, 1",13.04.18
23,№ 85-вих від 02.05.18,"Кропивницький, вул. Велика Перспективна, 12",48.5160946,32.2721495,горіх,1,true,0,true,"вул. Велика Перспективна, 12",02.05.18
24,№ 1665-к від 18.05.18,"Кропивницький, вул. Архітектора Паученка, 53/39",48.5090635,32.271352,верба плакуча,1,true,0,true,"вул. Архітектора Паученка, 53/39",18.05.18
25,№ 1665-к від 18.05.18,"Кропивницький, вул. Архітектора Паученка, 53/39",48.5090843,32.271397,липа,1,true,0,true,"вул. Архітектора Паученка, 53/39",18.05.18
