order_number,tree_adress,Latitude,Longitude,tree_characteristics,number,was_cut,branch_left,tree_adress_shorten,date_UTF
№ 311/03-01-06 від 14.02.18,"Кропивницький, вул. Олексія Єгорова, 32",48.4972704,32.3071419,тополя пухова - 1 од.,1,0,1,"вул. Олексія Єгорова, 32",14.02.18
№ 590-П від 15.02.18,"Кропивницький, вул. Київська, 85",48.4941379,32.218763,клен - 2 од.,2,0,2,"вул. Київська, 85",15.02.18
№ 665-М від 16.02.18,"Кропивницький, вул. Велика Пермська, 82",48.494176,32.2187183,акація - 1 од.,1,0,1,"вул. Велика Пермська, 82",16.02.18
№ 416/03-01-06 від 27.02.18,"Кропивницький, просп. Промисловий, 25",48.4941946,32.2187334,горіх - 3 од.,3,0,3,"просп. Промисловий, 25",27.02.18
№ 673/03-01-06 від 05.03.18,"Кропивницький, вул. Андріївська, 12",48.4955177,32.2178,шовковиця - 1 од.,1,0,1,"вул. Андріївська, 12",05.03.18
№ 44-вих від 07.03.18,"Кропивницький, вул. Юрія Коваленка, 7",48.5116132000008,32.2683721,горіх - 12 од.,12,12,0,"вул. Юрія Коваленка, 7",07.03.18
№ 44-вих від 07.03.18,"Кропивницький, вул. Юрія Коваленка, 7",48.507933000002495,32.262468,липа - 5 од.,5,5,0,"вул. Юрія Коваленка, 7",07.03.18
№ 44-вих від 07.03.18,"Кропивницький, вул. Юрія Коваленка, 7",48.5079330000012,32.262619,каштан - 5 од.,5,5,0,"вул. Юрія Коваленка, 7",07.03.18
№ 44-вих від 07.03.18,"Кропивницький, вул. Юрія Коваленка, 7",48.5079330000021,32.262637,береза - 1 од.,1,1,0,"вул. Юрія Коваленка, 7",07.03.18
№ 35-вих від 26.02.18,"Кропивницький, вул. Ігіта Гаспаряна, 92/24",48.5047651,32.2804212,акація - 1 од.,1,0,1,"вул. Ігіта Гаспаряна, 92/24",26.02.18
№ 762/03-01-06 від 20.03.18,"Кропивницький, вул. Володі Дубініна, 9",48.5292446,32.2454561,акація - 1 од.,1,0,1,"вул. Володі Дубініна, 9",20.03.18
№ 768/03-01-06 від 20.03.18,"Кропивницький, вул. Генерала Жадова, 28, корп. 2",48.529299,32.2454822,акація - 1 од.,1,1,0,"вул. Генерала Жадова, 28, корп. 2",20.03.18
№ 1178-В від 27.03.18,"Кропивницький, перехрестя вулиць Ростислава Черноморченка та Глинки",48.5292102,32.245465,акація - 4 од.,4,4,0,перехрестя вулиць Ростислава Черноморченка та Глинки,27.03.18
№ 1178-В від 27.03.18,"Кропивницький, перехрестя вулиць Ростислава Черноморченка та Глинки",48.5292739,32.2454741,клен - 1 од.,1,1,0,перехрестя вулиць Ростислава Черноморченка та Глинки,27.03.18
№ 1178-В від 27.03.18,"Кропивницький, на розі вулиць Куропятникова-Яновського",48.51658629999999,32.2524305,каштан - 6 од.,6,6,0,на розі вулиць Куропятникова-Яновського,27.03.18
№ 1178-В від 27.03.18,"Кропивницький, на розі вулиць Куропятникова-Яновського",48.53963,32.2614884,тополя - 1 од.,1,1,0,на розі вулиць Куропятникова-Яновського,27.03.18
№ 1178-В від 27.03.18,"Кропивницький, на розі вулиць Куропятникова-Яновського",48.539208,32.261433000000004,горіх - 1 од.,1,1,0,на розі вулиць Куропятникова-Яновського,27.03.18
№ 1178-В від 27.03.18,"Кропивницький, уздовж вул. Арсенія Тарковського",48.5615353,32.241769399999995,дерева,267,267,0,уздовж вул. Арсенія Тарковського,27.03.18
№ 1178-В від 27.03.18,"Кропивницький, уздовж вул. Пашутинської",48.5079330000021,32.26254,дерева,81,81,0,уздовж вул. Пашутинської,27.03.18
№ 71-вих від 13.04.18,"Кропивницький, вул. Тульська, 1",48.511054599992654,32.262837,акація - 12 од.,12,12,0,"вул. Тульська, 1",13.04.18
№ 71-вих від 13.04.18,"Кропивницький, вул. Тульська, 1",48.507933000001145,32.262375,тополя - 1 од.,1,1,0,"вул. Тульська, 1",13.04.18
№ 71-вих від 13.04.18,"Кропивницький, вул. Тульська, 1",48.5018751,32.234766,абрикос - 1 од.,1,1,0,"вул. Тульська, 1",13.04.18
№ 71-вих від 13.04.18,"Кропивницький, вул. Тульська, 1",48.50509419999293,32.2226812,шовковиця - 1 од.,1,1,0,"вул. Тульська, 1",13.04.18
№ 85-вих від 02.05.18,"Кропивницький, вул. Велика Перспективна, 12",48.50509419999327,32.2226221,горіх - 1 од.,1,1,0,"вул. Велика Перспективна, 12",02.05.18
№ 1665-к від 18.05.18,"Кропивницький, вул. Архітектора Паученка, 53/39",48.50509419999589,32.222621999999994,верба плакуча - 1 од.,1,1,0,"вул. Архітектора Паученка, 53/39",18.05.18
№ 1665-к від 18.05.18,"Кропивницький, вул. Архітектора Паученка, 53/39",48.50765879999296,32.2234295,липа - 1 од.,1,1,0,"вул. Архітектора Паученка, 53/39",18.05.18
